origin,dest,weight
Kilinochchi,Ratnapura,76
Kilinochchi,Kegalle,106
Baticaloa,Colombo,5019
Baticaloa,Gampaha,2378
Baticaloa,Kalutara,636
Baticaloa,Kandy,1130
Baticaloa,Matale,405
Baticaloa,Nuwara Eliya,462
Baticaloa,Galle,378
Baticaloa,Matara,195
Baticaloa,Hambantota,171
Baticaloa,Jaffna,1485
Baticaloa,Mannar,506
Baticaloa,Vavuniya,914
Baticaloa,Mullaitivu,549
Baticaloa,Kilinochchi,408
Baticaloa,Ampara,7867
Baticaloa,Trincomalee,21644
Baticaloa,Kurunegala,749
Baticaloa,Puttalam,1188
Baticaloa,Anuradhapura,889
Baticaloa,Polonnaruwa,2426
Baticaloa,Badulla,1085
Baticaloa,Monaragala,441
Baticaloa,Ratnapura,275
Baticaloa,Kegalle,337
Ampara,Colombo,9393
Ampara,Gampaha,7277
Ampara,Kalutara,2338
Ampara,Kandy,6011
Ampara,Matale,869
Ampara,Nuwara Eliya,881
Ampara,Galle,1840
Ampara,Matara,1404
Ampara,Hambantota,1409
Ampara,Jaffna,333
Ampara,Mannar,128
Ampara,Vavuniya,388
Ampara,Mullaitivu,202
Ampara,Kilinochchi,236
Ampara,Baticaloa,6723
Ampara,Trincomalee,1624
Ampara,Kurunegala,2319
Ampara,Puttalam,848
Ampara,Anuradhapura,1728
Ampara,Polonnaruwa,6433
Ampara,Badulla,4502
Ampara,Monaragala,4308
Ampara,Ratnapura,1821
Ampara,Kegalle,2478
Trincomalee,Colombo,4889
Trincomalee,Gampaha,6324
Trincomalee,Kalutara,1337
Trincomalee,Kandy,3601
Trincomalee,Matale,2830
Trincomalee,Nuwara Eliya,950
Trincomalee,Galle,993
Trincomalee,Matara,950
Trincomalee,Hambantota,894
Trincomalee,Jaffna,2760
Trincomalee,Mannar,426
Trincomalee,Vavuniya,1103
Trincomalee,Mullaitivu,2199
Trincomalee,Kilinochchi,704
Trincomalee,Baticaloa,3778
Trincomalee,Ampara,1686
Trincomalee,Kurunegala,4331
Trincomalee,Puttalam,1454
Trincomalee,Anuradhapura,5888
Trincomalee,Polonnaruwa,2021
Trincomalee,Badulla,762
Trincomalee,Monaragala,347
Trincomalee,Ratnapura,553
Trincomalee,Kegalle,1343
Kurunegala,Colombo,29138
Kurunegala,Gampaha,61085
Kurunegala,Kalutara,5862
Kurunegala,Kandy,19007
Kurunegala,Matale,11697
Kurunegala,Nuwara Eliya,1949
Kurunegala,Galle,3161
Kurunegala,Matara,1914
Kurunegala,Hambantota,1697
Kurunegala,Jaffna,327
Kurunegala,Mannar,669
Kurunegala,Vavuniya,1457
Kurunegala,Mullaitivu,835
Kurunegala,Kilinochchi,123
Kurunegala,Baticaloa,661
Kurunegala,Ampara,2238
Kurunegala,Trincomalee,3582
Kurunegala,Puttalam,40787
Kurunegala,Anuradhapura,32534
Kurunegala,Polonnaruwa,14173
Kurunegala,Badulla,2682
