origin,dest,weight,link_id
426,424,19,7514
427,424,19,7311
428,424,19,6511
429,424,19,4251
194,430,19,2613
431,430,19,5722
432,430,19,5516
433,430,19,5481
434,430,19,3108
280,435,1,2981
193,436,4,3280
437,436,2,6949
438,436,4,6696
439,436,4,6210
252,440,1,3680
285,441,2,6071
276,442,1,6243
