origin,dest,weight
0119,0014,100
0119,0034,100
0119,0074,100
0119,0080,100
0119,0090,100
0119,0109,100
0119,0141,100
0119,0148,100
0119,0150,100
0119,0153,100
0119,0166,100
0119,0171,100
0119,0202,100
0119,0344,100
0119,0363,100
0119,0599,100
0119,0855,100
0140,0014,100
0140,0072,100
0140,0090,100
0140,1908,100
0140,1940,100
0141,0034,100
0141,0118,100
0141,0148,100
0141,0158,100
0141,0168,100
0141,0175,100
0141,0177,100
0141,0268,100
0141,0344,100
0141,0363,100
0141,0394,100
0141,0599,100
0141,0758,100
0141,0772,100
0141,0855,100
0141,1859,100
0147,0158,100
0147,0163,100
0147,0168,100
0147,0183,100
0147,0189,100
0147,0200,100
0147,0995,100
0147,1700,100
0148,0034,100
0148,0118,100
0148,0119,100
0148,0141,100
0148,0153,100
0148,0163,100
0148,0164,100
0148,0202,100
0148,0203,100
0148,0246,100
0148,0303,100
0148,0363,100
0148,0599,100
0148,1690,100
0148,1708,100
0148,1742,100
0148,1773,100
0150,0014,100
0150,0050,100
0150,0118,100
0150,0119,100
0150,0148,100
0150,0158,100
0150,0160,100
0150,0163,100
0150,0171,100
0150,0180,100
0150,0189,100
0150,0213,100
0150,0226,100
0150,0228,100
0150,0243,100
0150,0246,100
0150,0267,100
0150,0274,100
0150,0299,100
0150,0303,100
0150,0345,100
0150,0356,100
0150,0394,100
0150,0402,100
0150,0518,100
0150,0599,100
0150,0758,100
0150,0794,100
0150,0796,100
0150,0856,100
0150,0935,100
0150,0983,100
0150,1734,100
0150,1876,100
0150,1896,100
0153,0080,100
0153,0114,100
0153,0166,100
0153,0177,100
0153,0183,100
0153,0197,100
0153,0222,100
0153,0228,100
0153,0262,100
0153,0268,100
0153,0301,100
0153,0307,100
0153,0394,100
0153,0518,100
0153,0758,100
0153,0794,100
0153,0796,100
0153,0935,100
0153,1509,100
0153,1700,100
0153,1876,100
0158,0034,100
0158,0147,100
0158,0160,100
0158,0163,100
0158,0193,100
0158,0200,100
0158,0202,100
0158,0203,100
0158,0222,100
0158,0262,100
0158,0294,100
0158,0995,100
0158,1742,100
0160,0014,100
0160,0034,100
0160,0166,100
0160,0173,100
0160,0183,100
0160,0202,100
0160,0303,100
0160,0344,100
0160,0363,100
0160,0599,100
0160,0995,100
0160,1708,100
0160,1730,100
0160,1731,100
0160,1735,100
0160,1773,100
0160,1774,100
0160,1896,100
0160,1900,100
0163,0014,100
0163,0147,100
0163,0148,100
0163,0173,100
0163,0175,100
0163,0183,100
0163,0262,100
0163,0995,100
0164,0014,100
0164,0114,100
0164,0160,100
0164,0183,100
0164,0262,100
0164,0268,100
0164,0294,100
0164,0301,100
0164,0303,100
0164,0307,100
0164,0344,100
0164,0394,100
0164,0599,100
0164,0758,100
0164,0772,100
0164,1586,100
0164,1700,100
0164,1859,100
0166,0014,100
0166,0050,100
0166,0074,100
0166,0118,100
0166,0119,100
0166,0141,100
0166,0148,100
0166,0160,100
0166,0177,100
0166,0180,100
0166,0184,100
0166,0202,100
0166,0228,100
0166,0232,100
0166,0233,100
0166,0244,100
0166,0246,100
0166,0267,100
0166,0273,100
0166,0855,100
0166,0983,100
0166,1773,100
0168,0034,100
0168,0147,100
0168,0158,100
0168,0183,100
0168,0193,100
0168,0200,100
0168,0202,100
0168,0269,100
0168,0995,100
0168,1735,100
0168,1742,100
0171,0014,100
0171,0050,100
0171,0074,100
0171,0080,100
0171,0118,100
0171,0119,100
0171,0153,100
0171,0164,100
0171,0228,100
0171,0233,100
0171,0243,100
0171,0269,100
0171,0301,100
0171,0302,100
0171,0344,100
0171,0355,100
0171,0394,100
0171,0402,100
0171,0599,100
0171,1900,100
0173,0034,100
0173,0147,100
0173,0158,100
0173,0163,100
0173,0171,100
0173,0183,100
0173,0200,100
0173,0232,100
0173,0269,100
0173,0303,100
0173,1735,100
0173,1742,100
0175,0119,100
0175,0153,100
0175,0163,100
0175,0180,100
0175,0200,100
0175,0203,100
0175,1742,100
0175,1773,100
0177,0034,100
0177,0118,100
0177,0119,100
0177,0160,100
0177,0166,100
0177,0173,100
0177,0175,100
0177,0189,100
0177,0202,100
0177,0203,100
0177,0262,100
0177,0285,100
0177,0301,100
0177,0303,100
0177,0344,100
0177,0363,100
0177,0794,100
0177,0828,100
0177,1700,100
0177,1731,100
0177,1735,100
0180,0114,100
0180,0150,100
0180,0160,100
0180,0171,100
0180,0177,100
0180,0200,100
0180,0203,100
0180,1690,100
0180,1708,100
0183,0160,100
0183,0163,100
0183,0189,100
0183,0202,100
0183,1735,100
0183,1742,100
0184,0034,100
0184,0193,100
0184,0200,100
0184,0202,100
0184,0233,100
0184,0243,100
0184,0363,100
0184,0599,100
0184,0855,100
0189,0160,100
0189,0173,100
0189,0177,100
0189,0183,100
0189,0200,100
0189,0202,100
0189,0228,100
0189,0995,100
0189,1774,100
0193,0017,100
0193,0050,100
0193,0074,100
0193,0090,100
0193,0109,100
0193,0173,100
0193,0189,100
0193,0226,100
0193,0262,100
0193,0267,100
0193,0268,100
0193,0285,100
0193,0301,100
0193,0313,100
0193,0327,100
0193,0345,100
0193,0355,100
0193,0356,100
0193,0394,100
0193,0518,100
0193,0758,100
0193,0794,100
0193,0796,100
0193,0855,100
0193,0917,100
0193,0983,100
0193,1690,100
0193,1700,100
0193,1731,100
0193,1883,100
0193,1940,100
0196,0200,100
0196,0228,100
0196,0275,100
0196,0297,100
0196,1509,100
0196,1705,100
0196,1734,100
0197,0150,100
0197,0153,100
0197,0200,100
0197,0226,100
0197,0262,100
0197,0299,100
0197,0301,100
0197,0772,100
0197,0935,100
0197,0984,100
0197,1883,100
0200,0014,100
0200,0050,100
0200,0080,100
0200,0118,100
0200,0160,100
0200,0171,100
0200,0173,100
0200,0177,100
0200,0221,100
0200,0230,100
0200,0269,100
0200,0273,100
0200,0281,100
0200,0297,100
0200,0299,100
0200,0303,100
0200,0310,100
0200,0313,100
0200,0321,100
0200,0327,100
0200,0342,100
0200,0356,100
0200,0362,100
0200,0502,100
0200,0505,100
0200,0518,100
0200,0637,100
0200,0758,100
0200,0794,100
0200,0848,100
0200,0855,100
0200,0856,100
0200,0917,100
0200,0928,100
0200,0988,100
0200,1711,100
0200,1734,100
0200,1773,100
0200,1859,100
0200,1883,100
0200,1942,100
0202,0014,100
0202,0090,100
0202,0141,100
0202,0164,100
0202,0166,100
0202,0197,100
0202,0214,100
0202,0216,100
0202,0225,100
0202,0232,100
0202,0236,100
0202,0243,100
0202,0252,100
0202,0262,100
0202,0267,100
0202,0269,100
0202,0277,100
0202,0285,100
0202,0294,100
0202,0302,100
0202,0310,100
0202,0312,100
0202,0321,100
0202,0327,100
0202,0340,100
0202,0353,100
0202,0356,100
0202,0362,100
0202,0402,100
0202,0502,100
0202,0546,100
0202,0637,100
0202,0756,100
0202,0758,100
0202,0856,100
0202,0907,100
0202,0917,100
0202,0995,100
0202,1507,100
0202,1581,100
0202,1586,100
0202,1684,100
0202,1859,100
0202,1876,100
0202,1883,100
0202,1904,100
0203,0034,100
0203,0050,100
0203,0150,100
0203,0193,100
0203,0274,100
0203,0289,100
0203,0299,100
0203,0301,100
0203,0308,100
0203,0310,100
0203,0313,100
0203,0342,100
0203,0351,100
0203,0356,100
0203,0394,100
0203,0402,100
0203,0599,100
0203,0772,100
0203,0907,100
0203,0983,100
0203,0984,100
0203,1581,100
0203,1705,100
0203,1734,100
0203,1740,100
0209,0200,100
0209,0252,100
0209,0289,100
0209,0344,100
0209,0363,100
0209,0668,100
0209,0756,100
0209,0758,100
0209,0784,100
0209,0786,100
0209,0855,100
0209,0856,100
0209,0865,100
0209,0907,100
0209,0935,100
0209,0984,100
0209,1640,100
0209,1684,100
0209,1705,100
0209,1859,100
0213,0193,100
0213,0221,100
0213,0222,100
0213,0226,100
0213,0228,100
0213,0232,100
0213,0243,100
0213,0262,100
0213,0268,100
0213,0344,100
0213,0363,100
0213,0772,100
0213,0983,100
0213,1876,100
0213,1955,100
0214,0200,100
0214,0202,100
0214,0225,100
0214,0268,100
0214,0289,100
0214,0297,100
0214,0304,100
0214,0321,100
0214,0352,100
0214,0355,100
0214,0394,100
0214,0402,100
0214,0512,100
0214,0518,100
0214,0599,100
0214,0620,100
0214,0772,100
0214,0796,100
0214,0917,100
0214,0983,100
0214,1509,100
0214,1734,100
0216,0034,100
0216,0200,100
0216,0228,100
0216,0268,100
0216,0304,100
0216,0310,100
0216,0312,100
0216,0352,100
0216,0353,100
0216,0362,100
0216,0394,100
0216,0402,100
0216,0512,100
0216,0518,100
0216,0545,100
0216,0603,100
0216,0632,100
0216,0772,100
0216,0855,100
0216,1581,100
0216,1904,100
0221,0200,100
0221,0213,100
0221,0268,100
0221,0269,100
0221,0274,100
0221,0301,100
0221,0772,100
0221,1734,100
0221,1876,100
0221,1955,100
0222,0034,100
0222,0153,100
0222,0177,100
0222,0193,100
0222,0196,100
0222,0213,100
0222,0262,100
0222,0267,100
0222,0274,100
0222,0281,100
0222,0293,100
0222,0297,100
0222,0307,100
0222,0344,100
0222,0345,100
0222,0363,100
0222,0599,100
0222,0772,100
0222,0796,100
0222,0865,100
0222,0917,100
0222,0995,100
0222,1705,100
0225,0200,100
0225,0202,100
0225,0214,100
0225,0216,100
0225,0222,100
0225,0228,100
0225,0236,100
0225,0252,100
0225,0289,100
0225,0297,100
0225,0344,100
0225,0363,100
0225,0772,100
0225,0796,100
0225,0855,100
0225,0856,100
0225,0873,100
0225,0983,100
0225,0984,100
0225,1507,100
0225,1705,100
0225,1734,100
0225,1740,100
0225,1945,100
0226,0150,100
0226,0153,100
0226,0193,100
0226,0196,100
0226,0203,100
0226,0216,100
0226,0221,100
0226,0262,100
0226,0289,100
0226,0296,100
0226,0297,100
0226,0344,100
0226,0345,100
0226,0363,100
0226,0599,100
0226,0772,100
0226,0796,100
0226,0917,100
0226,1507,100
0226,1509,100
0226,1859,100
0226,1876,100
0228,0150,100
0228,0193,100
0228,0214,100
0228,0216,100
0228,0225,100
0228,0233,100
0228,0236,100
0228,0262,100
0228,0275,100
0228,0285,100
0228,0294,100
0228,0296,100
0228,0299,100
0228,0301,100
0228,0304,100
0228,0308,100
0228,0312,100
0228,0313,100
0228,0321,100
0228,0342,100
0228,0518,100
0228,0794,100
0228,0796,100
0228,0820,100
0228,0828,100
0228,0855,100
0228,0935,100
0228,0957,100
0228,0984,100
0228,1705,100
0228,1883,100
0228,1955,100
0230,0034,100
0230,0050,100
0230,0150,100
0230,0203,100
0230,0228,100
0230,0244,100
0230,0246,100
0230,0267,100
0230,0307,100
0230,0344,100
0230,0758,100
0230,0995,100
0232,0034,100
0232,0166,100
0232,0203,100
0232,0228,100
0232,0230,100
0232,0233,100
0232,0244,100
0232,0267,100
0232,0268,100
0232,0269,100
0232,0301,100
0232,0307,100
0232,0344,100
0232,0363,100
0232,0772,100
0232,0856,100
0232,1955,100
0233,0193,100
0233,0202,100
0233,0230,100
0233,0301,100
0233,0303,100
0233,0355,100
0233,0394,100
0233,0402,100
0233,0599,100
0233,0772,100
0233,0995,100
0233,1734,100
0236,0200,100
0236,0202,100
0236,0228,100
0236,0263,100
0236,0268,100
0236,0307,100
0236,0321,100
0236,0345,100
0236,0355,100
0236,0394,100
0236,0518,100
0236,0599,100
0236,0620,100
0236,0707,100
0236,0733,100
0236,0772,100
0236,0855,100
0236,0899,100
0236,0917,100
0236,0983,100
0236,1740,100
0243,0150,100
0243,0166,100
0243,0232,100
0243,0236,100
0243,0244,100
0243,0263,100
0243,0269,100
0243,0274,100
0243,0281,100
0243,0289,100
0243,0301,100
0243,0303,100
0243,0313,100
0243,0327,100
0243,0345,100
0243,0355,100
0243,0358,100
0243,0392,100
0243,0402,100
0243,0599,100
0243,0772,100
0243,0796,100
0243,0984,100
0243,1734,100
0243,1859,100
0244,0150,100
0244,0166,100
0244,0230,100
0244,0243,100
0244,0302,100
0244,0856,100
0244,1896,100
0244,1955,100
0246,0034,100
0246,0166,100
0246,0202,100
0246,0230,100
0246,0243,100
0246,0285,100
0246,0301,100
0246,0302,100
0246,0344,100
0246,0352,100
0246,0363,100
0246,0856,100
0246,1711,100
0246,1773,100
0246,1896,100
0246,1955,100
0252,0200,100
0252,0209,100
0252,0228,100
0252,0281,100
0252,0363,100
0252,0756,100
0252,0772,100
0252,0786,100
0252,0796,100
0252,0828,100
0252,0856,100
0252,0907,100
0252,0944,100
0252,0983,100
0252,0984,100
0252,1684,100
0252,1734,100
0262,0141,100
0262,0158,100
0262,0163,100
0262,0164,100
0262,0177,100
0262,0203,100
0262,0213,100
0262,0226,100
0262,0232,100
0262,0275,100
0262,0294,100
0262,0307,100
0262,0344,100
0262,0363,100
0262,0772,100
0262,0865,100
0262,0907,100
0262,0935,100
0262,0983,100
0262,0984,100
0262,1509,100
0262,1586,100
0262,1734,100
0262,1735,100
0262,1883,100
0263,0216,100
0263,0268,100
0263,0281,100
0263,0304,100
0263,0363,100
0263,0512,100
0263,0518,100
0263,0542,100
0263,0599,100
0263,0668,100
0263,0733,100
0263,0797,100
0263,0845,100
0263,0865,100
0263,0867,100
0263,0873,100
0263,0907,100
0263,0917,100
0263,0984,100
0267,0193,100
0267,0236,100
0267,0297,100
0267,0299,100
0267,0321,100
0267,0342,100
0267,0351,100
0267,0356,100
0267,0406,100
0267,0518,100
0267,0599,100
0267,0668,100
0267,0995,100
0267,1581,100
0267,1942,100
0268,0034,100
0268,0164,100
0268,0166,100
0268,0203,100
0268,0213,100
0268,0214,100
0268,0216,100
0268,0236,100
0268,0243,100
0268,0262,100
0268,0263,100
0268,0267,100
0268,0293,100
0268,0294,100
0268,0310,100
0268,0321,100
0268,0355,100
0268,0356,100
0268,0392,100
0268,0402,100
0268,0513,100
0268,0546,100
0268,0637,100
0268,0753,100
0268,0815,100
0268,0848,100
0268,0861,100
0268,0867,100
0268,0946,100
0268,0951,100
0268,1507,100
0268,1509,100
0268,1581,100
0268,1586,100
0268,1641,100
0268,1652,100
0268,1674,100
0268,1685,100
0268,1702,100
0268,1721,100
0268,1740,100
0268,1859,100
0268,1876,100
0268,1894,100
0268,1942,100
0269,0034,100
0269,0118,100
0269,0119,100
0269,0150,100
0269,0180,100
0269,0202,100
0269,0203,100
0269,0228,100
0269,0233,100
0269,0267,100
0269,0273,100
0269,0301,100
0269,0303,100
0269,0307,100
0269,0344,100
0269,0856,100
0269,0995,100
0269,1896,100
0273,0050,100
0273,0193,100
0273,0202,100
0273,0268,100
0273,0313,100
0273,0327,100
0273,0345,100
0273,0355,100
0273,0394,100
0273,0402,100
0273,0855,100
0273,0995,100
0273,1734,100
0274,0150,100
0274,0203,100
0274,0226,100
0274,0230,100
0274,0275,100
0274,0281,100
0274,0294,100
0274,0296,100
0274,0307,100
0274,0340,100
0274,0345,100
0274,0355,100
0274,0394,100
0274,0599,100
0274,0772,100
0274,0796,100
0274,0983,100
0274,1705,100
0274,1740,100
0275,0150,100
0275,0153,100
0275,0193,100
0275,0196,100
0275,0203,100
0275,0230,100
0275,0243,100
0275,0262,100
0275,0269,100
0275,0281,100
0275,0285,100
0275,0289,100
0275,0293,100
0275,0296,100
0275,0307,100
0275,0345,100
0275,0394,100
0275,0599,100
0275,0772,100
0275,0796,100
0275,0865,100
0275,0935,100
0275,0983,100
0275,1507,100
0275,1509,100
0275,1876,100
0275,1955,100
0277,0275,100
0279,0202,100
0279,0327,100
0279,0355,100
0279,0363,100
0281,0153,100
0281,0222,100
0281,0263,100
0281,0289,100
0281,0296,100
0281,0301,100
0281,0307,100
0281,0340,100
0281,0355,100
0281,0394,100
0281,0402,100
0281,0512,100
0281,0545,100
0281,0599,100
0281,0603,100
0281,0620,100
0281,0758,100
0281,0772,100
0281,0828,100
0281,0855,100
0281,0917,100
0281,0983,100
0281,1509,100
0281,1581,100
0281,1734,100
0281,1883,100
0285,0034,100
0285,0141,100
0285,0153,100
0285,0164,100
0285,0203,100
0285,0222,100
0285,0233,100
0285,0243,100
0285,0262,100
0285,0268,100
0285,0275,100
0285,0303,100
0285,0307,100
0285,0344,100
0285,0363,100
0285,0772,100
0285,1742,100
0285,1773,100
0289,0222,100
0289,0226,100
0289,0230,100
0289,0236,100
0289,0267,100
0289,0275,100
0289,0281,100
0289,0296,100
0289,0301,100
0289,0307,100
0289,0310,100
0289,0355,100
0289,0356,100
0289,0394,100
0289,0518,100
0289,0599,100
0289,0758,100
0289,0772,100
0289,0796,100
0289,0935,100
0289,0983,100
0289,1581,100
0289,1586,100
0289,1740,100
0293,0222,100
0293,0230,100
0293,0262,100
0293,0274,100
