origin,dest,km,days,expense,type,weight
50107,50449,212.594,1.559,0.156,coastal,156
50107,50483,406.224,2.819,0.282,coastal,282
50107,50486,306.039,2.409,0.241,overseas,241
50107,50492,465.134,2.715,0.271,coastal,271
50107,50493,76.263,0.495,0.05,coastal,50
50107,50505,238.038,1.432,0.143,overseas,143
50108,50005,143.569,4.786,5.025,road,5025
50108,50206,349.111,2.856,0.286,overseas,286
50108,50450,238.247,1.958,0.196,coastal,196
50108,50474,225.353,1.511,0.151,overseas,151
50108,50483,715.905,6.247,0.625,overseas,625
50108,50713,362.107,2.583,0.258,coastal,258
50109,50177,28.736,0.958,1.006,road,1006
50109,50381,37.992,1.266,1.33,road,1330
50110,50022,97.756,0.823,0.082,coastal,82
50110,50047,28.058,0.935,0.982,road,982
50110,50049,62.478,0.463,0.046,coastal,46
50111,50131,112.259,3.742,3.929,road,3929
50111,50248,90.836,3.028,3.179,road,3179
50112,50141,296.771,9.892,10.387,road,10387
50112,50291,228.135,1.435,0.143,coastal,143
50112,50568,33.713,0.329,0.033,slowcoast,33
50113,50069,15.674,0.522,0.549,road,549
50113,50104,35.56,1.185,1.245,road,1245
50114,50166,68.903,2.297,2.412,road,2412
50114,50738,17.144,0.571,0.6,road,600
50115,50096,122.205,1.018,0.415,fastdown,415
50115,50142,185.679,6.189,6.499,road,6499
50115,50242,109.701,3.657,3.84,road,3840
50116,50228,99.544,3.318,3.484,road,3484
50116,50420,65.987,2.2,2.31,road,2310
50117,50129,9.099,0.125,0.012,ferry,12
50117,50272,83.286,2.776,2.915,road,2915
50118,50259,34.127,1.138,1.194,road,1194
50118,50359,75.061,2.502,2.627,road,2627
50118,50737,22.972,0.766,0.804,road,804
50119,50155,74.594,1.148,0.254,downstream,254
50119,50275,280.885,5.618,1.91,fastup,1910
50119,50355,197.967,6.599,6.929,road,6929
50119,50364,238.226,4.765,1.62,fastup,1620
50120,50135,90.542,3.018,3.169,road,3169
50120,50329,68.887,2.296,2.411,road,2411
50120,50384,149.943,4.998,5.248,road,5248
50120,50385,104.939,3.498,3.673,road,3673
50121,50088,415.586,2.19,0.219,coastal,219
50121,50156,654.238,4.526,0.453,overseas,453
50121,50210,90.609,1.812,0.616,fastup,616
50121,50252,182.239,6.075,6.378,road,6378
50121,50462,828.833,5.536,0.554,coastal,554
50121,50464,521.843,3.279,0.328,overseas,328
50122,50043,52.586,1.753,1.84,road,1840
50122,50425,43.476,1.449,1.522,road,1522
50123,50297,155.424,5.181,5.44,road,5440
50124,50459,105.848,2.117,0.72,fastup,720
50124,50468,182.013,2.8,0.619,downstream,619
50124,50752,98.779,3.293,3.457,road,3457
50125,50012,130.962,2.619,0.891,fastup,891
50125,50238,228.941,3.522,0.778,downstream,778
50126,50095,108.678,3.623,3.804,road,3804
50126,50253,232.551,7.752,8.139,road,8139
50127,50137,148.756,4.959,5.206,road,5206
50127,50251,41.707,1.39,1.46,road,1460
50128,50082,178.071,5.936,6.232,road,6232
50128,50721,114.057,3.802,3.992,road,3992
50129,50117,9.099,0.125,0.012,ferry,12
50129,50146,275.04,9.168,9.626,road,9626
50129,50200,410.787,9.953,0.995,overseas,995
50129,50272,95.65,0.361,0.036,coastal,36
50129,50301,100.391,0.653,0.065,coastal,65
50129,50430,237.197,8.772,0.877,coastal,877
50129,50612,127.135,0.762,0.076,coastal,76
50129,50617,32.669,7.328,0.733,coastal,733
50130,50070,379.098,12.637,13.268,road,13268
50130,50150,43.768,0.673,0.298,upstream,298
50130,50218,141.41,4.714,4.949,road,4949
50130,50262,170.227,5.674,5.958,road,5958
50130,50321,152.233,1.522,0.518,downstream,518
50130,50677,166.669,5.556,5.833,road,5833
50131,50111,112.259,3.742,3.929,road,3929
50131,50199,179.656,2.764,0.611,downstream,611
